Acura;Integra;Small
Acura;Legend;Midsize
Audi;90;Compact
Audi;100;Midsize
BMW;535i;Midsize
Buick;Century;Midsize
Buick;LeSabre;Large
Buick;Roadmaster;Large
Buick;Riviera;Midsize
Cadillac;DeVille;Large
Cadillac;Seville;Midsize
Chevrolet;Cavalier;Compact
Chevrolet;Corsica;Compact
Chevrolet;Camaro;Sporty
Chevrolet;Lumina;Midsize
Chevrolet;Lumina_APV;Van
Chevrolet;Astro;Van
Chevrolet;Caprice;Large
Chevrolet;Corvette;Sporty
Chrylser;Concorde;Large
Chrysler;LeBaron;Compact
Chrysler;Imperial;Large
Dodge;Colt;Small
Dodge;Shadow;Small
Dodge;Spirit;Compact
Dodge;Caravan;Van
Dodge;Dynasty;Midsize
Dodge;Stealth;Sporty
Eagle;Summit;Small
Eagle;Vision;Large
Ford;Festiva;Small
Ford;Escort;Small
Ford;Tempo;Compact
Ford;Mustang;Sporty
Ford;Probe;Sporty
Ford;Aerostar;Van
Ford;Taurus;Midsize
Ford;Crown_Victoria;Large
Geo;Metro;Small
Geo;Storm;Sporty
Honda;Prelude;Sporty
Honda;Civic;Small
Honda;Accord;Compact
Hyundai;Excel;Small
Hyundai;Elantra;Small
Hyundai;Scoupe;Sporty
Hyundai;Sonata;Midsize
Infiniti;Q45;Midsize
Lexus;ES300;Midsize
Lexus;SC300;Midsize
Lincoln;Continental;Midsize
Lincoln;Town_Car;Large
Mazda;323;Small
Mazda;Protege;Small
Mazda;626;Compact
Mazda;MPV;Van
Mazda;RX-7;Sporty
Mercedes-Benz;190E;Compact
Mercedes-Benz;300E;Midsize
Mercury;Capri;Sporty
Mercury;Cougar;Midsize
Mitsubishi;Mirage;Small
Mitsubishi;Diamante;Midsize
Nissan;Sentra;Small
Nissan;Altima;Compact
Nissan;Quest;Van
Nissan;Maxima;Midsize
Oldsmobile;Achieva;Compact
Oldsmobile;Cutlass_Ciera;Midsize
Oldsmobile;Silhouette;Van
Oldsmobile;Eighty-Eight;Large
Plymouth;Laser;Sporty
Pontiac;LeMans;Small
Pontiac;Sunbird;Compact
Pontiac;Firebird;Sporty
Pontiac;Grand_Prix;Midsize
Pontiac;Bonneville;Large
Saab;900;Compact
Saturn;SL;Small
Subaru;Justy;Small
Subaru;Loyale;Small
Subaru;Legacy;Compact
Suzuki;Swift;Small
Toyota;Tercel;Small
Toyota;Celica;Sporty
Toyota;Camry;Midsize
Toyota;Previa;Van
Volkswagen;Fox;Small
Volkswagen;Eurovan;Van
Volkswagen;Passat;Compact
Volkswagen;Corrado;Sporty
Volvo;240;Compact
Volvo;850;Midsize
